Customer_ID,total_transactions,total_quantity,total_revenue,avg_order_value,first_purchase,last_purchase,customer_lifetime_days,recency_days,churn_probability
16165.0,1,2,79.9,79.9,2010-07-22 14:17:00,2010-07-22 14:17:00,0,504,0.9667985879368948
14190.0,1,2,79.9,79.9,2010-02-11 14:27:00,2010-02-11 14:27:00,0,665,0.9667985879368948
14906.0,1,1,68.44,68.44,2010-09-20 16:30:00,2010-09-20 16:30:00,0,444,0.9636000788899228
12570.0,1,1,77.52,77.52,2010-01-26 17:28:00,2010-01-26 17:28:00,0,681,0.9608199428857285
18068.0,1,6,101.7,101.7,2011-02-23 14:50:00,2011-02-23 14:50:00,0,288,0.9448631383409432
16047.0,1,1,107.14,107.14,2010-01-26 16:34:00,2010-01-26 16:34:00,0,681,0.944631165723926
17570.0,1,1,100.0,100.0,2010-11-23 11:56:00,2010-11-23 11:56:00,0,381,0.9412877045834835
16291.0,1,1,117.72,117.72,2010-01-26 16:26:00,2010-01-26 16:26:00,0,681,0.9401919663097172
13185.0,1,12,71.4,71.4,2011-03-17 11:56:00,2011-03-17 11:56:00,0,267,0.9380252412828943
17747.0,1,12,71.4,71.4,2011-08-19 08:13:00,2011-08-19 08:13:00,0,112,0.9380252412828943
12404.0,1,1,63.24,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,0,681,0.9376035826346104
13391.0,1,4,59.8,59.8,2011-05-20 10:50:00,2011-05-20 10:50:00,0,203,0.9351418885411878
12555.0,1,1,129.23,129.23,2010-01-26 16:26:00,2010-01-26 16:26:00,0,681,0.9318730051235669
13535.0,1,10,89.5,89.5,2010-11-02 11:49:00,2010-11-02 11:49:00,0,402,0.9289185227912431
12636.0,1,1,141.0,141.0,2009-12-01 09:55:00,2009-12-01 09:55:00,0,738,0.928217528620214
14086.0,1,1,39.95,39.95,2010-09-03 10:52:00,2010-09-03 10:52:00,0,462,0.9271867909182027
12466.0,1,1,56.73,56.73,2010-01-26 16:26:00,2010-01-26 16:26:00,0,681,0.9267413818153234
17129.0,1,5,31.85,15.925,2010-07-07 13:46:00,2010-07-07 13:46:00,0,519,0.9262209521762388
13829.0,1,12,102.0,102.0,2010-10-14 18:19:00,2010-10-14 18:19:00,0,420,0.9214223562031414
16417.0,1,6,35.7,35.7,2010-08-04 09:08:00,2010-08-04 09:08:00,0,492,0.9198131261102026
15940.0,1,4,35.8,35.8,2011-02-01 16:18:00,2011-02-01 16:18:00,0,310,0.9198131261102026
15871.0,1,5,33.099999999999994,6.619999999999999,2010-09-28 14:16:00,2010-09-28 14:16:00,0,436,0.9186196453536184
17956.0,1,1,12.75,12.75,2011-04-04 13:47:00,2011-04-04 13:47:00,0,248,0.9179078185648794
15760.0,2,2,13916.34,6958.17,2010-03-19 11:35:00,2010-03-19 11:45:00,0,630,0.9169233262317475
14580.0,1,3,14.85,14.85,2010-07-09 15:20:00,2010-07-09 15:20:00,0,517,0.9166041103706416
13163.0,1,3,17.65,8.825,2010-04-08 16:21:00,2010-04-08 16:21:00,0,609,0.916599613125337
15575.0,1,6,30.1,10.033333333333331,2010-03-30 12:50:00,2010-03-30 12:50:00,0,619,0.9162801643675113
12846.0,1,1,15.58,15.58,2010-01-26 16:29:00,2010-01-26 16:29:00,0,681,0.9156150178760738
17102.0,1,2,25.5,25.5,2011-03-23 10:08:00,2011-03-23 10:08:00,0,261,0.9154854640078949
15455.0,1,3,38.25,19.125,2010-04-21 12:43:00,2010-04-21 12:43:00,0,597,0.915152038479537
15040.0,1,1,7.49,7.49,2010-06-16 11:40:00,2010-06-16 11:40:00,0,541,0.9127748965677955
17378.0,1,1,10.95,10.95,2010-11-30 18:46:00,2010-11-30 18:46:00,0,373,0.9127679214656886
16257.0,1,2,46.95,23.475,2011-06-16 10:11:00,2011-06-16 10:11:00,0,176,0.9126529522918091
14589.0,1,10,79.5,13.25,2010-12-03 11:42:00,2010-12-03 11:42:00,0,371,0.9122424305385156
14393.0,1,13,67.95,13.59,2011-05-05 18:16:00,2011-05-05 18:16:00,0,217,0.911978455712097
13219.0,1,11,76.23,6.930000000000001,2010-03-31 14:18:00,2010-03-31 14:18:00,0,617,0.9119270834938873
